chr	start	end	motif1.distancePeakMax	motif1.score	motif2.distancePeakMax	motif2.score
chr12	53773190	53774190	-383	95.0	-169	91.9
chr12	54673958	54674958	-172	95.9	-30	94.5
chr11	59382995	59383995	49	95.1	-67	92.7
chr11	63953020	63954020	1	94.7	-290	93.3
chr17	26368140	26369140	-75	88.3	66	87.9
chr17	45972891	45973891	-181	94.8	-21	91.7
chr17	57232113	57233113	363	100.0	391	95.9
chr17	79818164	79819164	129	97.1	13	95.6
chr16	30381604	30382604	345	96.9	492	92.2
chr15	75743642	75744642	430	91.0	80	88.0
chr15	98503190	98504190	58	95.5	179	90.0
chr19	6424589	6425589	-125	96.2	-182	95.7
chr19	10827963	10828963	-95	93.5	182	91.5
chr19	19174217	19175217	38	94.7	-49	92.2
chr19	39340403	39341403	267	96.3	205	93.0
chr19	42772758	42773758	113	98.5	-227	90.7
chr19	50269332	50270332	289	97.0	258	90.2
chr19	54640809	54641809	-158	91.8	-419	89.6
chr22	40440203	40441203	-57	94.5	14	89.6
chr7	100183725	100184725	-344	98.0	-186	92.6
chr6	32145484	32146484	-420	97.7	-175	91.3
chr5	139780871	139781871	-173	88.1	-21	88.0
chr4	174255095	174256095	198	91.7	12	91.6
chr3	9438330	9439330	-8	93.8	-304	92.8
chr3	114865728	114866728	-5	96.8	361	89.7
chr2	44395135	44396135	-398	94.4	-75	92.2
chr1	110881029	110882029	192	91.5	24	91.4
chr1	150601753	150602753	-440	88.4	-5	85.5
chr9	131842843	131843843	-178	99.6	-226	96.8
chr9	140135118	140136118	-141	95.5	-42	87.8
chr1	6844707	6845707	27	93.9	160	92.3
chr9	37465230	37466230	-225	94.8	45	92.5
chr2	88926739	88927739	-206	97.1	127	92.3
chr21	35013549	35014549	23	95.1	171	76.8
chr5	145826358	145827358	10	94.0	-358	92.7
chr8	25315552	25316552	107	99.7	10	98.2
chr10	76585785	76586785	-332	88.9	-350	88.4
chr8	145158811	145159811	-92	90.4	54	88.1
chr14	21737183	21738183	-30	91.1	146	90.8
chr5	151150796	151151796	-239	92.4	65	87.8
chr17	7475492	7476492	-43	93.5	92	85.3
chr19	47551407	47552407	98	89.9	56	88.9
chr22	22089802	22090802	-164	98.4	9	96.9
chr3	119813239	119814239	-58	97.8	46	96.2
chr16	639408	640408	-370	93.3	100	91.6
chr19	50179625	50180625	-11	88.4	125	88.4
chr19	55850642	55851642	-12	96.5	-199	93.8
chr19	4471660	4472660	-68	92.3	-473	88.7
chr7	100136097	100137097	-54	95.9	201	95.0
chr11	9481972	9482972	-15	91.3	-108	87.0
chr22	20003936	20004936	-26	95.0	14	91.3
chr6	27099265	27100265	-5	93.1	283	85.0
chr16	1832405	1833405	-31	96.2	30	93.7
chr17	4870220	4871220	-176	93.5	-341	92.9
chr16	58663387	58664387	-51	92.1	-20	89.0
chr17	38573824	38574824	67	98.1	-17	90.6
chr19	15489894	15490894	275	95.2	-68	90.1
chr17	79212497	79213497	-22	89.9	54	87.1
chr14	91526913	91527913	-27	97.9	-332	92.9
chr16	2264459	2265459	-97	95.4	57	94.9
chr5	43313384	43314384	19	90.8	-271	89.8
chr19	4968309	4969309	226	95.6	256	91.9
chr1	150669317	150670317	70	96.2	-101	94.0
chr19	11484781	11485781	56	91.6	-341	91.3
chr22	21995963	21996963	-51	92.5	-77	86.1
chr2	136288299	136289299	-426	94.5	5	88.9
chr16	2955468	2956468	107	95.1	-118	93.8
chr9	96928563	96929563	-1	84.3	494	82.2
chr17	58754667	58755667	-9	89.7	342	85.2
chr1	25756767	25757767	11	89.7	-90	88.6
chr13	111367431	111368431	205	95.0	57	83.7
chrX	49047312	49048312	-155	92.7	11	92.5
chr12	6960025	6961025	-40	89.9	301	84.9
chr16	57769078	57770078	-269	96.1	-312	93.6
chr1	40364294	40365294	-14	91.4	39	86.6
chr19	4342455	4343455	-150	96.2	-63	93.0
chr17	47866086	47867086	14	95.8	-105	91.3
chr17	8533819	8534819	-64	94.0	-206	89.5
chr2	70141551	70142551	-92	90.8	-180	90.5
chr17	80325375	80326375	-34	88.2	61	88.2
chr14	96000667	96001667	-98	91.7	128	90.3
chr14	78082770	78083770	-48	94.0	114	91.4
chr19	6372174	6373174	-33	84.9	38	82.4
chr22	23411811	23412811	21	85.9	57	83.9
chr15	74890290	74891290	-10	92.7	-46	89.0
chr19	15529397	15530397	110	88.2	-37	86.5
chr19	17443200	17444200	43	95.3	-232	90.1
chr22	22874181	22875181	21	88.1	-26	83.1
chr11	62494910	62495910	180	94.3	43	93.1
chr1	41174450	41175450	-345	96.4	-4	93.6
chr1	154946624	154947624	-66	94.9	-195	92.9
chr19	4246493	4247493	4	90.1	427	88.5
chr3	149530461	149531461	11	90.3	-245	83.1
chr1	28562007	28563007	-120	85.9	63	82.4
chr10	131908909	131909909	-283	90.5	13	88.7
chr14	58764652	58765652	72	92.6	15	90.2
chr19	45393588	45394588	-34	98.2	220	95.5
chr19	45681426	45682426	-400	98.4	-172	93.4
chr19	10490884	10491884	-108	95.4	-9	92.6
chr11	57479387	57480387	-482	94.0	-184	90.6
chr9	34329013	34330013	28	99.7	-148	92.1
chr17	76237206	76238206	4	99.6	-50	99.6
chr19	36192888	36193888	94	98.5	-23	95.2
chr19	8454685	8455685	-26	95.0	-148	88.7
chr12	56211285	56212285	-165	94.6	-18	90.9
chr17	8059325	8060325	0	96.5	113	95.7
chr17	1619160	1620160	25	93.6	-69	91.6
chr7	150075841	150076841	28	94.7	-17	87.4
chr17	47841208	47842208	16	94.9	55	90.8
chr19	18303244	18304244	72	94.9	242	92.5
chr5	32312834	32313834	-63	98.5	14	85.9
chr19	41283549	41284549	-393	91.8	-60	89.9
chr2	73298083	73299083	-12	94.6	-124	94.2
chr11	67275274	67276274	-141	93.6	-27	93.4
chr1	153895128	153896128	-173	92.5	-119	89.8
chr22	20067198	20068198	-19	90.7	41	86.7
chr11	329154	330154	-38	92.3	245	87.7
chr16	84314359	84315359	-173	93.8	23	91.2
chr14	24583854	24584854	-32	98.0	71	92.6
chr6	42896598	42897598	13	88.8	-17	86.2
chr2	153573559	153574559	12	95.9	-84	88.3
chr1	227127358	227128358	75	95.5	-35	94.0
chr4	48781979	48782979	-121	93.0	119	85.8
chr11	22646917	22647917	42	86.5	2	83.9
chr22	36783711	36784711	157	89.4	-28	78.4
chrX	154444117	154445117	-39	96.5	85	91.2
chr17	56595005	56596005	-79	95.5	-11	93.5
chr19	2944553	2945553	-33	96.2	71	96.2
chr22	19434863	19435863	-105	94.7	17	87.1
chr16	3053580	3054580	-57	98.3	44	94.8
